Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,
 2023-Jul-20 00:00, , , 10 30 44.54, +10 27 14.4,    1.700,  4.425,  2.31865709102240,  8.9573554,
 2023-Jul-21 00:00, , , 10 33 03.12, +10 13 08.4,    1.696,  4.417,  2.32380146254558,  8.8565638,
 2023-Jul-22 00:00, , , 10 35 21.65, +09 58 58.2,    1.691,  4.408,  2.32888755180544,  8.7555513,
 2023-Jul-23 00:00, , , 10 37 40.14, +09 44 43.9,    1.690,  4.403,  2.33391525488073,  8.6544000,
 2023-Jul-24 00:00, , , 10 39 58.58, +09 30 25.7,    1.689,  4.398,  2.33888451555801,  8.5531932,
 2023-Jul-25 00:00, , , 10 42 17.00, +09 16 03.5,    1.691,  4.396,  2.34379532681019,  8.4520182,
 2023-Jul-26 00:00, , , 10 44 35.37, +09 01 37.5,    1.686,  4.387,  2.34864773344968,  8.3509677,
 2023-Jul-27 00:00, , , 10 46 53.72, +08 47 07.8,    1.679,  4.376,  2.35344183565647,  8.2501405,
 2023-Jul-28 00:00, , , 10 49 12.03, +08 32 34.4,    1.676,  4.370,  2.35817779222028,  8.1496400,
 2023-Jul-29 00:00, , , 10 51 30.33, +08 17 57.5,    1.684,  4.374,  2.36285582118154,  8.0495665,
 2023-Jul-30 00:00, , , 10 53 48.60, +08 03 17.1,    1.697,  4.384,  2.36747619437798,  7.9500029,
 2023-Jul-31 00:00, , , 10 56 06.86, +07 48 33.3,    1.710,  4.393,  2.37203922193359,  7.8509950,
 2023-Aug-01 00:00, , , 10 58 25.11, +07 33 46.2,    1.727,  4.406,  2.37654522412594,  7.7525289,
 2023-Aug-02 00:00, , , 11 00 43.35, +07 18 55.8,    1.735,  4.411,  2.38099449218125,  7.6545167,
 2023-Aug-03 00:00, , , 11 03 01.59, +07 04 02.3,    1.749,  4.421,  2.38538724542441,  7.5567996,
 2023-Aug-04 00:00, , , 11 05 19.85, +06 49 05.6,    1.760,  4.429,  2.38972359640263,  7.4591722,
 2023-Aug-05 00:00, , , 11 07 38.12, +06 34 05.9,    1.765,  4.430,  2.39400353429142,  7.3614192,
 2023-Aug-06 00:00, , , 11 09 56.41, +06 19 03.2,    1.773,  4.436,  2.39822692991719,  7.2633510,
 2023-Aug-07 00:00, , , 11 12 14.74, +06 03 57.5,    1.787,  4.447,  2.40239355756635,  7.1648252,
 2023-Aug-08 00:00, , , 11 14 33.10, +05 48 49.0,    1.794,  4.450,  2.40650312443230,  7.0657515,
 2023-Aug-09 00:00, , , 11 16 51.50, +05 33 37.8,    1.785,  4.438,  2.41055529935581,  6.9660855,
 2023-Aug-10 00:00, , , 11 19 09.96, +05 18 23.8,    1.782,  4.432,  2.41454973613598,  6.8658177,
 2023-Aug-11 00:00, , , 11 21 28.46, +05 03 07.1,    1.772,  4.419,  2.41848609027956,  6.7649619,
 2023-Aug-12 00:00, , , 11 23 47.03, +04 47 47.9,    1.768,  4.412,  2.42236403022143,  6.6635480,
 2023-Aug-13 00:00, , , 11 26 05.66, +04 32 26.3,    1.768,  4.409,  2.42618324478719,  6.5616162,
 2023-Aug-14 00:00, , , 11 28 24.36, +04 17 02.3,    1.789,  4.428,  2.42994344852887,  6.4592150,
